Exercise,Description,VideoURL
Goblet squat,"Hold a dumbbell close to your chest with both hands and squat down, keeping your chest tall and core engaged.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell squat,Hold dumbbells at your sides or shoulders and perform a squat to build leg strength.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell front squat,"Hold dumbbells at shoulder height and squat, emphasizing core stability and upright posture.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell press,"Press dumbbells overhead from shoulder height, engaging core and keeping arms straight at the top.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell bench press,"Lie on a bench, press dumbbells upward from chest level until arms are extended, then lower under control.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell row,"With one hand braced, pull a dumbbell toward your torso, squeezing your shoulder blade back.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell bent-over row,"Hinge forward at the hips with both dumbbells hanging, then row them toward your torso.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell Romanian deadlift (RDL),"Hold dumbbells at your thighs, hinge at the hips with a flat back, lowering weights down the legs before returning upright.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell deadlift,"Hold dumbbells at your sides or in front, hinge at hips and bend knees to lift from the floor to standing.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Dumbbell thruster,"Perform a squat holding dumbbells at shoulders, then drive up and press them overhead in one motion.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Push-up,"From a plank, lower your chest to the floor and press back up, keeping body straight.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Push-up clap,"Perform an explosive push-up, pushing off the ground to clap hands before landing softly.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Push-up with shoulder tap,"After each push-up, tap one hand to the opposite shoulder, alternating sides.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Pull-up,Hang from a bar with palms facing away and pull your chin above the bar.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Assisted pull-up,Perform a pull-up with assistance from a band or support to reduce resistance.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Negative pull-up,"Jump or step to the top of a pull-up, then lower yourself slowly under control.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Pull-up hang,Hang from a pull-up bar to build grip and shoulder stability.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Step-up,"Step onto a box or bench with one leg, driving through the heel to stand tall before stepping down.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Squat (air squat / bodyweight),"Lower hips back and down into a squat using only bodyweight, then stand back up.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Jump squat,"Perform a bodyweight squat, then jump explosively and land softly.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Jump lunge,"Step into a lunge, then jump explosively to switch legs in the air, landing in the opposite lunge.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Burpee,"From standing, drop into a push-up, then jump up explosively with arms overhead.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Kettlebell swing / Dumbbell swing,Swing a kettlebell or dumbbell between your legs and explosively drive hips forward to swing it up to chest or overhead.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Sprint,Run as fast as possible over a short distance.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Shuttle sprint,"Sprint back and forth between two points, stopping and changing direction quickly.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Row sprint,Row on an ergometer at maximum effort for short bursts.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Bike (easy / moderate / steady / intervals),"Cycle on a stationary or road bike at varying intensities, from easy steady state to hard interval efforts.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Row (easy / steady / intervals),Row on an ergometer or water rower at a steady pace or high-intensity intervals.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Run (continuous / run–walk / 5K / 10K / trail),"Perform sustained running or run–walk intervals, including distances from 1 mile up to 10–12 miles or trail runs.",https://www.youtube.com/watch?v=xvFZjo5PgG0
"Ruck (light to heavy, various distances and loads)",Walk or hike carrying a weighted backpack over distances from 2 to 20 miles.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Hiking,Walk on trails or uneven terrain at a comfortable pace.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Light walk,Gentle walk for recovery and circulation.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Jog,Easy running at a conversational pace.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Mobility work,Dynamic or static stretches and drills to improve joint range of motion and reduce stiffness.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Stretching,Static or dynamic stretches to lengthen muscles and aid recovery.,https://www.youtube.com/watch?v=xvFZjo5PgG0
Yoga,"Guided movement and postures focused on flexibility, balance, and relaxation.",https://www.youtube.com/watch?v=xvFZjo5PgG0
Plank,"Hold a straight-body position on your forearms or hands, keeping your core, glutes, and legs engaged to build trunk stability.",https://www.youtube.com/watch?v=xvFZjo5PgG0
